        61        12         6        20
   1.02847E-09   1.02852E-09   1.02869E-09   1.02886E-09   1.02901E-09
   1.02903E-09   1.02901E-09   1.02886E-09   1.02869E-09   1.02852E-09
   1.02847E-09   1.02824E-09   1.02826E-09   1.02831E-09   1.02847E-09
   1.02865E-09   1.02880E-09   1.02882E-09   1.02880E-09   1.02865E-09
   1.02847E-09   1.02830E-09   1.02825E-09   1.02811E-09   1.02812E-09
   1.02817E-09   1.02834E-09   1.02851E-09   1.02866E-09   1.02868E-09
   1.02866E-09   1.02851E-09   1.02834E-09   1.02817E-09   1.02812E-09
   1.02802E-09   1.02804E-09   1.02809E-09   1.02826E-09   1.02843E-09
   1.02858E-09   1.02860E-09   1.02858E-09   1.02843E-09   1.02826E-09
   1.02809E-09   1.02804E-09   1.02797E-09   1.02799E-09   1.02804E-09
   1.02820E-09   1.02838E-09   1.02853E-09   1.02854E-09   1.02853E-09
   1.02838E-09   1.02820E-09   1.02803E-09   1.02798E-09   1.02794E-09
   1.02795E-09   1.02800E-09   1.02817E-09   1.02834E-09   1.02849E-09
   1.02851E-09   1.02849E-09   1.02834E-09   1.02817E-09   1.02800E-09
   1.02795E-09   1.02791E-09   1.02793E-09   1.02798E-09   1.02815E-09
   1.02832E-09   1.02847E-09   1.02849E-09   1.02847E-09   1.02832E-09
   1.02815E-09   1.02798E-09   1.02793E-09   1.02790E-09   1.02792E-09
   1.02797E-09   1.02813E-09   1.02831E-09   1.02846E-09   1.02848E-09
   1.02846E-09   1.02831E-09   1.02813E-09   1.02796E-09   1.02791E-09
   1.02789E-09   1.02791E-09   1.02796E-09   1.02813E-09   1.02830E-09
   1.02845E-09   1.02847E-09   1.02845E-09   1.02830E-09   1.02813E-09
   1.02796E-09   1.02791E-09   1.02789E-09   1.02790E-09   1.02795E-09
   1.02812E-09   1.02830E-09   1.02844E-09   1.02846E-09   1.02844E-09
   1.02830E-09   1.02812E-09   1.02795E-09   1.02790E-09   1.02788E-09
   1.02790E-09   1.02795E-09   1.02812E-09   1.02829E-09   1.02844E-09
   1.02846E-09   1.02844E-09   1.02829E-09   1.02812E-09   1.02795E-09
   1.02790E-09   1.02788E-09   1.02790E-09   1.02795E-09   1.02812E-09
   1.02829E-09   1.02844E-09   1.02846E-09   1.02844E-09   1.02829E-09
   1.02812E-09   1.02795E-09   1.02790E-09   1.02788E-09   1.02790E-09
   1.02795E-09   1.02811E-09   1.02829E-09   1.02844E-09   1.02846E-09
   1.02844E-09   1.02829E-09   1.02811E-09   1.02794E-09   1.02789E-09
   1.02788E-09   1.02789E-09   1.02794E-09   1.02811E-09   1.02829E-09
   1.02844E-09   1.02845E-09   1.02843E-09   1.02829E-09   1.02811E-09
   1.02794E-09   1.02789E-09
   8.00027E-09   8.00027E-09   8.00027E-09   8.00027E-09   8.00027E-09
   8.00027E-09   8.00027E-09   8.00027E-09   8.00027E-09   8.00027E-09
   8.00027E-09   8.00027E-09   8.14746E-09   8.12709E-09   8.08319E-09
   8.02810E-09   7.95562E-09   7.90620E-09   7.89323E-09   7.88221E-09
   7.89778E-09   7.95831E-09   8.02392E-09   8.10299E-09   8.25257E-09
   8.20888E-09   8.10747E-09   7.98040E-09   7.84742E-09   7.75931E-09
   7.73613E-09   7.73346E-09   7.78522E-09   7.90288E-09   8.04106E-09
   8.18164E-09   8.35974E-09   8.29262E-09   8.13396E-09   7.93229E-09
   7.73668E-09   7.60594E-09   7.57195E-09   7.57975E-09   7.67186E-09
   7.84934E-09   8.06172E-09   8.26364E-09   8.49021E-09   8.40246E-09
   8.18519E-09   7.90616E-09   7.64176E-09   7.46331E-09   7.41335E-09
   7.43674E-09   7.57557E-09   7.81893E-09   8.10806E-09   8.37171E-09
   8.64830E-09   8.53804E-09   8.25882E-09   7.89921E-09   7.56270E-09
   7.33484E-09   7.26935E-09   7.30809E-09   7.49570E-09   7.80875E-09
   8.17699E-09   8.50582E-09   8.83424E-09   8.70006E-09   8.35478E-09
   7.91094E-09   7.49911E-09   7.22048E-09   7.13862E-09   7.19387E-09
