        61        12         6        20
   2.76309E-07   2.75914E-07   2.75529E-07   2.75313E-07   8.83881E-08
   8.84031E-08   8.84412E-08   8.85096E-08   8.85797E-08   8.86369E-08
   8.86524E-08   8.86369E-08   8.85797E-08   8.85096E-08   8.84412E-08
   8.84031E-08   3.17851E-08   3.17885E-08   3.17966E-08   3.18119E-08
   3.18276E-08   3.18410E-08   3.18445E-08   3.18410E-08   3.18276E-08
   3.18119E-08   3.17966E-08   3.17885E-08   1.25793E-08   1.25802E-08
   1.25822E-08   1.25864E-08   1.25907E-08   1.25944E-08   1.25953E-08
   1.25944E-08   1.25907E-08   1.25864E-08   1.25822E-08   1.25802E-08
   4.63324E-09   4.63342E-09   4.63387E-09   4.63496E-09   4.63609E-09
   4.63708E-09   4.63727E-09   4.63708E-09   4.63609E-09   4.63496E-09
   4.63387E-09   4.63342E-09   2.58942E-09   2.58949E-09   2.58967E-09
   2.59018E-09   2.59072E-09   2.59118E-09   2.59126E-09   2.59118E-09
   2.59072E-09   2.59019E-09   2.58967E-09   2.58949E-09   1.82373E-09
   1.82376E-09   1.82386E-09   1.82419E-09   1.82453E-09   1.82483E-09
   1.82487E-09   1.82483E-09   1.82453E-09   1.82419E-09   1.82386E-09
   1.82376E-09   1.47057E-09   1.47059E-09   1.47067E-09   1.47092E-09
   1.47119E-09   1.47142E-09   1.47145E-09   1.47142E-09   1.47119E-09
   1.47092E-09   1.47067E-09   1.47059E-09   1.28670E-09   1.28672E-09
   1.28678E-09   1.28700E-09   1.28722E-09   1.28742E-09   1.28745E-09
   1.28742E-09   1.28722E-09   1.28700E-09   1.28678E-09   1.28672E-09
   1.18371E-09   1.18373E-09   1.18379E-09   1.18398E-09   1.18419E-09
   1.18437E-09   1.18439E-09   1.18437E-09   1.18419E-09   1.18398E-09
   1.18379E-09   1.18373E-09   1.12339E-09   1.12340E-09   1.12346E-09
   1.12364E-09   1.12383E-09   1.12400E-09   1.12402E-09   1.12400E-09
   1.12383E-09   1.12364E-09   1.12346E-09   1.12340E-09   1.08706E-09
   1.08707E-09   1.08713E-09   1.08730E-09   1.08749E-09   1.08765E-09
   1.08767E-09   1.08765E-09   1.08749E-09   1.08730E-09   1.08713E-09
   1.08707E-09   1.06480E-09   1.06481E-09   1.06486E-09   1.06504E-09
   1.06522E-09   1.06538E-09   1.06540E-09   1.06538E-09   1.06522E-09
   1.06504E-09   1.06486E-09   1.06481E-09   1.05101E-09   1.05102E-09
   1.05107E-09   1.05124E-09   1.05142E-09   1.05158E-09   1.05160E-09
   1.05158E-09   1.05142E-09   1.05124E-09   1.05107E-09   1.05102E-09
   1.04241E-09   1.04242E-09   1.04247E-09   1.04264E-09   1.04282E-09
   1.04297E-09   1.04299E-09   1.04297E-09   1.04282E-09   1.04264E-09
   1.04247E-09   1.04242E-09   1.03702E-09   1.03704E-09   1.03709E-09
   1.03725E-09   1.03743E-09   1.03758E-09   1.03760E-09   1.03758E-09
   1.03743E-09   1.03725E-09   1.03709E-09   1.03704E-09   1.03364E-09
   1.03365E-09   1.03370E-09   1.03387E-09   1.03404E-09   1.03420E-09
   1.03422E-09   1.03420E-09   1.03404E-09   1.03387E-09   1.03370E-09
   1.03365E-09   1.03151E-09   1.03153E-09   1.03157E-09   1.03174E-09
   1.03192E-09   1.03207E-09   1.03209E-09   1.03207E-09   1.03192E-09
   1.03174E-09   1.03157E-09   1.03153E-09   1.03017E-09   1.03018E-09
   1.03023E-09   1.03040E-09   1.03057E-09   1.03073E-09   1.03075E-09
   1.03073E-09   1.03057E-09   1.03040E-09   1.03023E-09   1.03018E-09
   1.02932E-09   1.02934E-09   1.02939E-09   1.02955E-09   1.02973E-09
   1.02988E-09   1.02990E-09   1.02988E-09   1.02973E-09   1.02955E-09
   1.02939E-09   1.02934E-09   1.02879E-09   1.02881E-09   1.02886E-09
   1.02902E-09   1.02920E-09   1.02935E-09   1.02937E-09   1.02935E-09
   1.02920E-09   1.02902E-09   1.02886E-09   1.02881E-09   1.02846E-09
   1.02847E-09   1.02852E-09   1.02869E-09   1.02886E-09   1.02901E-09
   1.02903E-09   1.02901E-09   1.02886E-09   1.02869E-09   1.02852E-09
   1.02847E-09   1.02824E-09   1.02826E-09   1.02831E-09   1.02847E-09
   1.02865E-09   1.02880E-09   1.02882E-09   1.02880E-09   1.02865E-09
   1.02847E-09   1.02831E-09   1.02826E-09   1.02811E-09   1.02813E-09
   1.02817E-09   1.02834E-09   1.02851E-09   1.02867E-09   1.02869E-09
   1.02867E-09   1.02851E-09   1.02834E-09   1.02817E-09   1.02813E-09
   1.02803E-09   1.02804E-09   1.02809E-09   1.02826E-09   1.02843E-09
   1.02858E-09   1.02860E-09   1.02858E-09   1.02843E-09   1.02826E-09
   1.02809E-09   1.02804E-09   1.02797E-09   1.02799E-09   1.02804E-09
   1.02820E-09   1.02838E-09   1.02853E-09   1.02855E-09   1.02853E-09
   1.02838E-09   1.02820E-09   1.02804E-09   1.02799E-09   1.02794E-09
   1.02795E-09   1.02800E-09   1.02817E-09   1.02834E-09   1.02849E-09
   1.02851E-09   1.02849E-09   1.02834E-09   1.02817E-09   1.02800E-09
   1.02795E-09   1.02792E-09   1.02793E-09   1.02798E-09   1.02815E-09
   1.02832E-09   1.02847E-09   1.02849E-09   1.02847E-09   1.02832E-09
   1.02815E-09   1.02798E-09   1.02793E-09   1.02791E-09   1.02792E-09
   1.02797E-09   1.02813E-09   1.02831E-09   1.02846E-09   1.02848E-09
   1.02846E-09   1.02831E-09   1.02813E-09   1.02797E-09   1.02792E-09
   1.02790E-09   1.02791E-09   1.02796E-09   1.02813E-09   1.02830E-09
   1.02845E-09   1.02847E-09   1.02845E-09   1.02830E-09   1.02813E-09
   1.02796E-09   1.02791E-09   1.02789E-09   1.02791E-09   1.02796E-09
   1.02812E-09   1.02830E-09   1.02845E-09   1.02847E-09   1.02845E-09
   1.02830E-09   1.02812E-09   1.02796E-09   1.02791E-09   1.02789E-09
   1.02790E-09   1.02795E-09   1.02812E-09   1.02829E-09   1.02844E-09
   1.02846E-09   1.02844E-09   1.02829E-09   1.02812E-09   1.02795E-09
   1.02790E-09   1.02789E-09   1.02790E-09   1.02795E-09   1.02812E-09
   1.02829E-09   1.02844E-09   1.02846E-09   1.02844E-09   1.02829E-09
   1.02812E-09   1.02795E-09   1.02790E-09   1.02788E-09   1.02790E-09
   1.02795E-09   1.02811E-09   1.02829E-09   1.02844E-09   1.02846E-09
   1.02844E-09   1.02829E-09   1.02811E-09   1.02795E-09   1.02790E-09
   1.02788E-09   1.02790E-09   1.02795E-09   1.02811E-09   1.02829E-09
   1.02844E-09   1.02846E-09   1.02844E-09   1.02829E-09   1.02811E-09
   1.02795E-09   1.02790E-09
   8.07163E-09   8.07163E-09   8.07163E-09   8.07163E-09   8.07163E-09
   8.07163E-09   8.07163E-09   8.07163E-09   8.07163E-09   8.07163E-09
   8.07163E-09   8.07163E-09   8.21888E-09   8.20205E-09   8.15497E-09
   8.09074E-09   8.02488E-09   7.97730E-09   7.95971E-09   7.95806E-09
   7.97181E-09   8.02092E-09   8.10113E-09   8.18218E-09   8.31096E-09
   8.27612E-09   8.17885E-09   8.04665E-09   7.91327E-09   7.81757E-09
   7.78236E-09   7.79595E-09   7.85456E-09   7.96924E-09   8.11895E-09
   8.25363E-09   8.41039E-09   8.35565E-09   8.20506E-09   8.00178E-09
   7.79871E-09   7.65424E-09   7.60188E-09   7.63171E-09   7.73604E-09
   7.91873E-09   8.14079E-09   8.33199E-09   8.54088E-09   8.46560E-09
   8.25725E-09   7.97785E-09   7.70037E-09   7.50501E-09   7.43409E-09
   7.48128E-09   7.63460E-09   7.89055E-09   8.18942E-09   8.44049E-09
   8.70188E-09   8.60495E-09   8.33516E-09   7.97588E-09   7.62065E-09
   7.37310E-09   7.28298E-09   7.34843E-09   7.55236E-09   7.88527E-09
   8.26440E-09   8.57870E-09   8.89246E-09   8.77237E-09   8.43709E-09
   7.99407E-09   7.55737E-09   7.25615E-09   7.14621E-09   7.23097E-09
   7.48692E-09   7.90022E-09   8.36383E-09   8.74542E-09   9.12371E-09
   8.97911E-09   8.57226E-09   8.03878E-09   7.51419E-09   7.15634E-09
   7.02499E-09   7.13042E-09   7.44184E-09   7.94245E-09   8.49678E-09
   8.95130E-09   9.39106E-09   9.21991E-09   8.73654E-09   8.10776E-09
   7.49058E-09   7.07359E-09   6.91960E-09   7.04724E-09   7.41647E-09
   8.00894E-09   8.65908E-09   9.19157E-09   9.71534E-09   9.51545E-09
   8.94694E-09   8.21320E-09   7.49404E-09   7.01328E-09   6.83440E-09
   6.98630E-09   7.41839E-09   8.11250E-09   8.86778E-09   9.48649E-09
   1.00990E-08   9.86756E-09   9.20612E-09   8.35903E-09   7.52974E-09
   6.98047E-09   6.77436E-09   6.95290E-09   7.45273E-09   8.25680E-09
   9.12554E-09   9.83814E-09   1.05547E-08   1.02880E-08   9.52547E-09
   8.55633E-09   7.60847E-09   6.98496E-09   6.74888E-09   6.95699E-09
   7.53027E-09   8.45270E-09   9.44383E-09   1.02584E-08   1.11148E-08
   1.08086E-08   9.93300E-09   8.82823E-09   7.74861E-09   7.04238E-09
   6.77231E-09   7.01388E-09   7.66950E-09   8.72396E-09   9.85072E-09
   1.07789E-08   1.18051E-08   1.14534E-08   1.04532E-08   9.20028E-09
   7.97685E-09   7.17741E-09   6.86825E-09   7.14855E-09   7.89733E-09
   9.09617E-09   1.03710E-08   1.14238E-08   1.27026E-08   1.22859E-08
   1.11577E-08   9.76070E-09   8.40077E-09   7.48276E-09   7.11785E-09
   7.45532E-09   8.32500E-09   9.66200E-09   1.10801E-08   1.22579E-08
   1.38466E-08   1.33643E-08   1.20708E-08   1.04831E-08   8.93739E-09
   7.88647E-09   7.46238E-09   7.85910E-09   8.86294E-09   1.03872E-08
   1.19956E-08   1.33374E-08   1.54275E-08   1.48661E-08   1.33689E-08
   1.15435E-08   9.76460E-09   8.54686E-09   8.04923E-09   8.51938E-09
   9.69130E-09   1.14501E-08   1.32961E-08   1.48406E-08   1.77741E-08
   1.71384E-08   1.54365E-08   1.33513E-08   1.13066E-08   9.89819E-09
   9.32222E-09   9.87072E-09   1.12362E-08   1.32631E-08   1.53681E-08
   1.71153E-08   2.22080E-08   2.15303E-08   1.96996E-08   1.73882E-08
   1.50857E-08   1.34802E-08   1.28356E-08   1.34510E-08   1.50153E-08
   1.73021E-08   1.96330E-08   2.15097E-08   3.44250E-08   3.37520E-08
   3.19203E-08   2.95405E-08   2.71343E-08   2.54231E-08   2.47405E-08
   2.53932E-08   2.70660E-08   2.94592E-08   3.18585E-08   3.37340E-08
   6.07441E-08   6.02882E-08   5.88768E-08   5.70448E-08   5.52384E-08
   5.40771E-08   5.36549E-08   5.40532E-08   5.51845E-08   5.69824E-08
   5.88312E-08   6.02747E-08   9.64333E-08   9.62416E-08   9.51789E-08
   9.39692E-08   9.29015E-08   9.26728E-08   9.26680E-08   9.26593E-08
   9.28661E-08   9.39292E-08   9.51529E-08   9.62335E-08   1.13705E-07
   1.13340E-07   1.11546E-07   1.09753E-07   1.08129E-07   1.07815E-07
   1.07671E-07   1.07808E-07   1.08106E-07   1.09727E-07   1.11532E-07
   1.13336E-07   9.08170E-08   8.99970E-08   8.68497E-08   8.35100E-08
   8.02709E-08   7.88843E-08   7.82031E-08   7.88800E-08   8.02584E-08
   8.34957E-08   8.68412E-08   8.99944E-08   6.12923E-08   6.01488E-08
   5.61097E-08   5.17164E-08   4.73828E-08   4.52165E-08   4.41712E-08
   4.52147E-08   4.73773E-08   5.17098E-08   5.61056E-08   6.01476E-08
   4.14984E-08   4.01924E-08   3.57522E-08   3.09077E-08   2.61218E-08
   2.36287E-08   2.24254E-08   2.36279E-08   2.61194E-08   3.09047E-08
   3.57502E-08   4.01919E-08   3.37013E-08   3.21571E-08   2.76085E-08
   2.26882E-08   1.78386E-08   1.50008E-08   1.35751E-08   1.50004E-08
   1.78372E-08   2.26864E-08   2.76073E-08   3.21568E-08   3.11877E-08
   2.93487E-08   2.49597E-08   2.02678E-08   1.56565E-08   1.23807E-08
   1.06714E-08   1.23803E-08   1.56553E-08   2.02663E-08   2.49587E-08
   2.93484E-08   3.04870E-08   2.85537E-08   2.43942E-08   1.98836E-08
   1.54417E-08   1.18779E-08   1.00630E-08   1.18775E-08   1.54405E-08
   1.98821E-08   2.43932E-08   2.85535E-08   3.02450E-08   2.84344E-08
   2.46190E-08   2.02592E-08   1.59418E-08   1.22924E-08   1.05739E-08
   1.22919E-08   1.59402E-08   2.02572E-08   2.46179E-08   2.84341E-08
   2.94724E-08   2.80845E-08   2.50149E-08   2.09210E-08   1.68184E-08
   1.33045E-08   1.19590E-08   1.33038E-08   1.68164E-08   2.09184E-08
   2.50136E-08   2.80841E-08   2.85463E-08   2.75388E-08   2.51314E-08
   2.12699E-08   1.73558E-08   1.40378E-08   1.30323E-08   1.40372E-08
   1.73537E-08   2.12669E-08   2.51302E-08   2.75384E-08   2.75263E-08
   2.68364E-08   2.50242E-08   2.13844E-08   1.76528E-08   1.45048E-08
   1.37810E-08   1.45042E-08   1.76504E-08   2.13811E-08   2.50229E-08
   2.68360E-08   2.75610E-08   2.68936E-08   2.51278E-08   2.15039E-08
   1.77828E-08   1.46377E-08   1.39317E-08   1.46371E-08   1.77803E-08
   2.15002E-08   2.51265E-08   2.68932E-08   2.75677E-08   2.69164E-08
   2.51830E-08   2.15704E-08   1.78572E-08   1.47155E-08   1.40225E-08
   1.47149E-08   1.78545E-08   2.15665E-08   2.51816E-08   2.69160E-08
   2.75652E-08   2.69249E-08   2.52134E-08   2.16086E-08   1.79010E-08
   1.47622E-08   1.40782E-08   1.47616E-08   1.78982E-08   2.16045E-08
   2.52120E-08   2.69245E-08   2.75608E-08   2.69278E-08   2.52308E-08
   2.16312E-08   1.79273E-08   1.47906E-08   1.41127E-08   1.47900E-08
   1.79244E-08   2.16270E-08   2.52294E-08   2.69274E-08   2.75568E-08
   2.69286E-08   2.52410E-08   2.16448E-08   1.79434E-08   1.48082E-08
   1.41342E-08   1.48076E-08   1.79405E-08   2.16406E-08   2.52396E-08
   2.69281E-08   2.75538E-08   2.69286E-08   2.52472E-08   2.16532E-08
   1.79534E-08   1.48192E-08   1.41477E-08   1.48186E-08   1.79505E-08
   2.16489E-08   2.52458E-08   2.69282E-08   2.75516E-08   2.69285E-08
   2.52509E-08   2.16583E-08   1.79596E-08   1.48260E-08   1.41562E-08
   1.48254E-08   1.79566E-08   2.16540E-08   2.52495E-08   2.69280E-08
   2.75502E-08   2.69283E-08   2.52532E-08   2.16615E-08   1.79635E-08
   1.48303E-08   1.41616E-08   1.48297E-08   1.79605E-08   2.16572E-08
   2.52518E-08   2.69279E-08   2.75493E-08   2.69282E-08   2.52547E-08
   2.16636E-08   1.79659E-08   1.48331E-08   1.41649E-08   1.48324E-08
   1.79629E-08   2.16592E-08   2.52533E-08   2.69277E-08   2.75487E-08
   2.69281E-08   2.52556E-08   2.16648E-08   1.79675E-08   1.48348E-08
   1.41670E-08   1.48341E-08   1.79645E-08   2.16605E-08   2.52542E-08
   2.69276E-08   2.75483E-08   2.69280E-08   2.52561E-08   2.16656E-08
   1.79684E-08   1.48358E-08   1.41684E-08   1.48352E-08   1.79654E-08
   2.16613E-08   2.52547E-08   2.69275E-08   2.75480E-08   2.69279E-08
   2.52565E-08   2.16661E-08   1.79690E-08   1.48365E-08   1.41692E-08
   1.48359E-08   1.79660E-08   2.16618E-08   2.52551E-08   2.69275E-08
   2.75479E-08   2.69279E-08   2.52567E-08   2.16664E-08   1.79694E-08
   1.48369E-08   1.41698E-08   1.48363E-08   1.79664E-08   2.16621E-08
   2.52553E-08   2.69275E-08   2.75478E-08   2.69279E-08   2.52569E-08
   2.16666E-08   1.79696E-08   1.48372E-08   1.41701E-08   1.48366E-08
   1.79667E-08   2.16623E-08   2.52554E-08   2.69275E-08   2.75477E-08
   2.69279E-08   2.52570E-08   2.16668E-08   1.79698E-08   1.48374E-08
   1.41703E-08   1.48368E-08   1.79668E-08   2.16624E-08   2.52555E-08
   2.69274E-08   2.75477E-08   2.69279E-08   2.52570E-08   2.16668E-08
   1.79699E-08   1.48375E-08   1.41704E-08   1.48369E-08   1.79669E-08
   2.16625E-08   2.52556E-08   2.69274E-08   2.75476E-08   2.69279E-08
   2.52570E-08   2.16669E-08   1.79700E-08   1.48375E-08   1.41705E-08
   1.48369E-08   1.79670E-08   2.16625E-08   2.52556E-08   2.69274E-08
   2.75476E-08   2.69279E-08   2.52571E-08   2.16669E-08   1.79700E-08
   1.48376E-08   1.41706E-08   1.48370E-08   1.79670E-08   2.16626E-08
   2.52556E-08   2.69274E-08   2.75476E-08   2.69279E-08   2.52571E-08
   2.16669E-08   1.79700E-08   1.48376E-08   1.41706E-08   1.48370E-08
   1.79670E-08   2.16626E-08   2.52557E-08   2.69274E-08   2.75476E-08
   2.69279E-08   2.52571E-08   2.16669E-08   1.79700E-08   1.48376E-08
   1.41706E-08   1.48370E-08   1.79671E-08   2.16626E-08   2.52557E-08
   2.69274E-08   2.75476E-08   2.69279E-08   2.52571E-08   2.16670E-08
   1.79700E-08   1.48376E-08   1.41707E-08   1.48370E-08   1.79671E-08
   2.16626E-08   2.52557E-08   2.69274E-08   2.75476E-08   2.69279E-08
   2.52571E-08   2.16670E-08   1.79701E-08   1.48376E-08   1.41707E-08
   1.48370E-08   1.79671E-08   2.16626E-08   2.52557E-08   2.69274E-08
   2.75476E-08   2.69279E-08   2.52571E-08   2.16670E-08   1.79701E-08
   1.48377E-08   1.41707E-08   1.48370E-08   1.79671E-08   2.16626E-08
   2.52557E-08   2.69274E-08   2.75476E-08   2.69279E-08   2.52571E-08
   2.16670E-08   1.79701E-08   1.48377E-08   1.41707E-08   1.48370E-08
   1.79671E-08   2.16626E-08   2.52557E-08   2.69274E-08   2.75476E-08
   2.69279E-08   2.52571E-08   2.16670E-08   1.79701E-08   1.48377E-08
   1.41707E-08   1.48370E-08   1.79671E-08   2.16626E-08   2.52557E-08
   2.69274E-08   2.75476E-08   2.69279E-08   2.52571E-08   2.16670E-08
   1.79701E-08   1.48377E-08   1.41707E-08   1.48370E-08   1.79671E-08
   2.16626E-08   2.52557E-08   2.69274E-08   2.75476E-08   2.69279E-08
   2.52571E-08   2.16670E-08   1.79701E-08   1.48377E-08   1.41707E-08
   1.48370E-08   1.79671E-08   2.16626E-08   2.52557E-08   2.69274E-08
   2.75476E-08   2.69279E-08   2.52571E-08   2.16670E-08   1.79701E-08
   1.48377E-08   1.41707E-08   1.48370E-08   1.79671E-08   2.16626E-08
   2.52557E-08   2.69274E-08
   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10
   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10
   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10
   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10
   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10
   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10
   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10
   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10
   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10
